battle_id,matchup,event_name,event_date,upload_date,emcee,participant_slot,participant_role,participation_status,appearance_credit,battle_credit
N8RGnLmjnRI,Rudic vs G-Spot,Different Ways 2,2012-05-19,2012-07-11 12:54:13,G-Spot,emcee2,scheduled,appeared,True,True
5soFpWhc11w,Mac T vs Kaream,Different Ways 2,2012-05-19,2012-07-11 12:34:44,Mac T,emcee1,scheduled,appeared,True,True
5soFpWhc11w,Mac T vs Kaream,Different Ways 2,2012-05-19,2012-07-11 12:34:44,Kaream,emcee2,scheduled,appeared,True,True
uMlNq6Xyp_0,D-Flow Uno vs Malupit,Different Ways 2,2012-05-19,2012-07-06 05:53:18,D-Flow Uno,emcee1,scheduled,appeared,True,True
uMlNq6Xyp_0,D-Flow Uno vs Malupit,Different Ways 2,2012-05-19,2012-07-06 05:53:18,Malupit,emcee2,scheduled,appeared,True,True
lyQTC81rbg8,Aklas vs Silent Effect,Different Ways 2,2012-05-19,2012-07-05 10:58:49,Aklas,emcee1,scheduled,appeared,True,True
lyQTC81rbg8,Aklas vs Silent Effect,Different Ways 2,2012-05-19,2012-07-05 10:58:49,Silent Effect,emcee2,scheduled,appeared,True,True
hGSMHOzoHJU,AKT vs Daddy Joe D,The Homecoming - MastaPlann x Bambu,2012-04-14,2012-06-06 14:28:59,AKT,emcee1,scheduled,appeared,True,True
hGSMHOzoHJU,AKT vs Daddy Joe D,The Homecoming - MastaPlann x Bambu,2012-04-14,2012-06-06 14:28:59,Daddy Joe D,emcee2,scheduled,appeared,True,True
hPK_Rk6Moco,Silencer vs Asero,Hukuman,2012-03-17,2012-05-30 15:44:15,Silencer,emcee1,scheduled,appeared,True,True
hPK_Rk6Moco,Silencer vs Asero,Hukuman,2012-03-17,2012-05-30 15:44:15,Asero,emcee2,scheduled,appeared,True,True
BgBRpzYmoAg,Jaffie vs Rish,Hukuman,2012-03-17,2012-05-30 15:44:14,Jaffie,emcee1,scheduled,appeared,True,True
BgBRpzYmoAg,Jaffie vs Rish,Hukuman,2012-03-17,2012-05-30 15:44:14,Rish,emcee2,scheduled,appeared,True,True
jd47us2dQOk,Kahir vs Jhapormz,Hukuman,2012-03-17,2012-05-30 15:44:14,Kahir,emcee1,scheduled,appeared,True,True
jd47us2dQOk,Kahir vs Jhapormz,Hukuman,2012-03-17,2012-05-30 15:44:14,Jhapormz,emcee2,scheduled,appeared,True,True
q988o9ZNgcY,Prosecutor Billy vs Andy G,Hukuman,2012-03-17,2012-05-26 13:47:27,Prosecutor Billy,emcee1,scheduled,appeared,True,True
q988o9ZNgcY,Prosecutor Billy vs Andy G,Hukuman,2012-03-17,2012-05-26 13:47:27,Andy G,emcee2,scheduled,appeared,True,True
7udBpNFp1J4,Sayantipiko vs 2khelle,Hukuman,2012-03-17,2012-05-26 13:46:44,Sayantipiko,emcee1,scheduled,appeared,True,True
7udBpNFp1J4,Sayantipiko vs 2khelle,Hukuman,2012-03-17,2012-05-26 13:46:44,2khelle,emcee2,scheduled,appeared,True,True
h2ZuWPg8iZg,Mocks Wun vs Caliber,Hukuman,2012-03-17,2012-05-26 13:46:29,Mocks Wun,emcee1,scheduled,appeared,True,True
h2ZuWPg8iZg,Mocks Wun vs Caliber,Hukuman,2012-03-17,2012-05-26 13:46:29,Caliber,emcee2,scheduled,appeared,True,True
YMbDOMn4CfE,Zaito vs Daddy Joe D,Grain Assault 3,2012-02-26,2012-04-28 18:20:28,Zaito,emcee1,scheduled,appeared,True,True
YMbDOMn4CfE,Zaito vs Daddy Joe D,Grain Assault 3,2012-02-26,2012-04-28 18:20:28,Daddy Joe D,emcee2,scheduled,appeared,True,True
4DsyxBYu76Q,Saint Ice vs One3d,Grain Assault 3,2012-02-26,2012-04-25 13:59:10,Saint Ice,emcee1,scheduled,appeared,True,True
4DsyxBYu76Q,Saint Ice vs One3d,Grain Assault 3,2012-02-26,2012-04-25 13:59:10,One3d,emcee2,scheduled,appeared,True,True
19ZJhdRPmsY,Ranieboy vs Icaruz,Grain Assault 3,2012-02-26,2012-04-21 13:23:58,Ranieboy,emcee1,scheduled,appeared,True,True
19ZJhdRPmsY,Ranieboy vs Icaruz,Grain Assault 3,2012-02-26,2012-04-21 13:23:58,Icaruz,emcee2,scheduled,appeared,True,True
Zo3yOWg1e_o,Damsa vs Badang,Grain Assault 3,2012-02-26,2012-04-18 13:50:00,Damsa,emcee1,scheduled,appeared,True,True
Zo3yOWg1e_o,Damsa vs Badang,Grain Assault 3,2012-02-26,2012-04-18 13:50:00,Badang,emcee2,scheduled,appeared,True,True
dy1Jr3PIryY,Twizzie vs Kris Delano,Grain Assault 3,2012-02-26,2012-04-14 13:36:31,Twizzie,emcee1,scheduled,appeared,True,True
dy1Jr3PIryY,Twizzie vs Kris Delano,Grain Assault 3,2012-02-26,2012-04-14 13:36:31,Kris Delano,emcee2,scheduled,appeared,True,True
ei_CiasYoMA,Melchrist vs Notorious,FlipTop @ Ilocos Norte,2011-12-28,2012-04-09 08:52:25,Melchrist,emcee1,scheduled,appeared,True,True
ei_CiasYoMA,Melchrist vs Notorious,FlipTop @ Ilocos Norte,2011-12-28,2012-04-09 08:52:25,Notorious,emcee2,scheduled,appeared,True,True
QW3Y5iqzLCk,Target vs Daddy Joe D,FlipTop @ Ilocos Norte,2011-12-28,2012-04-09 07:26:50,Target,emcee1,scheduled,appeared,True,True
QW3Y5iqzLCk,Target vs Daddy Joe D,FlipTop @ Ilocos Norte,2011-12-28,2012-04-09 07:26:50,Daddy Joe D,emcee2,scheduled,appeared,True,True
pExK-YWNDI0,Zaito vs Sayadd,FlipTop @ Ilocos Norte,2011-12-28,2012-04-04 21:59:13,Zaito,emcee1,scheduled,appeared,True,True
pExK-YWNDI0,Zaito vs Sayadd,FlipTop @ Ilocos Norte,2011-12-28,2012-04-04 21:59:13,Sayadd,emcee2,scheduled,appeared,True,True
VnD4mz2QUGs,Goriong Talas vs Aklas,FlipTop @ Ilocos Norte,2011-12-28,2012-04-04 12:31:23,Goriong Talas,emcee1,scheduled,appeared,True,True
VnD4mz2QUGs,Goriong Talas vs Aklas,FlipTop @ Ilocos Norte,2011-12-28,2012-04-04 12:31:23,Aklas,emcee2,scheduled,appeared,True,True
hVz-9lSA6_Q,Shehyee vs AKT,FlipTop @ Ilocos Norte,2011-12-28,2012-04-02 01:32:48,Shehyee,emcee1,scheduled,appeared,True,True
hVz-9lSA6_Q,Shehyee vs AKT,FlipTop @ Ilocos Norte,2011-12-28,2012-04-02 01:32:48,AKT,emcee2,scheduled,appeared,True,True
7NnO4MUiGLA,G-Mar vs Mizayld,"Bara Ko, Barako",2011-12-17,2012-03-25 09:09:51,G-Mar,emcee1,scheduled,appeared,True,True
7NnO4MUiGLA,G-Mar vs Mizayld,"Bara Ko, Barako",2011-12-17,2012-03-25 09:09:51,Mizayld,emcee2,scheduled,appeared,True,True
TfCX9xRMgXw,BLKD vs Krack,"Bara Ko, Barako",2011-12-17,2012-03-24 13:54:28,BLKD,emcee1,scheduled,appeared,True,True
TfCX9xRMgXw,BLKD vs Krack,"Bara Ko, Barako",2011-12-17,2012-03-24 13:54:28,Krack,emcee2,scheduled,appeared,True,True
nxOnN-J7CTM,Andy G vs Daddy Joe D,"Bara Ko, Barako",2011-12-17,2012-03-22 07:34:31,Andy G,emcee1,scheduled,appeared,True,True
nxOnN-J7CTM,Andy G vs Daddy Joe D,"Bara Ko, Barako",2011-12-17,2012-03-22 07:34:31,Daddy Joe D,emcee2,scheduled,appeared,True,True
MdyybZ9wfuA,Batang Rebelde vs Jonas,"Bara Ko, Barako",2011-12-17,2012-03-18 13:06:24,Batang Rebelde,emcee1,scheduled,appeared,True,True
MdyybZ9wfuA,Batang Rebelde vs Jonas,"Bara Ko, Barako",2011-12-17,2012-03-18 13:06:24,Jonas,emcee2,scheduled,appeared,True,True
kuyv83sx5F4,Smugglaz vs Apekz,"Bara Ko, Barako",2011-12-17,2012-03-18 12:49:52,Smugglaz,emcee1,scheduled,appeared,True,True
kuyv83sx5F4,Smugglaz vs Apekz,"Bara Ko, Barako",2011-12-17,2012-03-18 12:49:52,Apekz,emcee2,scheduled,appeared,True,True
qUpS-oCRP_w,Yelshawn vs Krusa,"Bara Ko, Barako",2011-12-17,2012-03-14 15:22:18,Yelshawn,emcee1,scheduled,appeared,True,True
qUpS-oCRP_w,Yelshawn vs Krusa,"Bara Ko, Barako",2011-12-17,2012-03-14 15:22:18,Krusa,emcee2,scheduled,appeared,True,True
TBiYd5z2Rxg,Goriong Talas vs Melchrist,"Bara Ko, Barako",2011-12-17,2012-03-14 13:03:50,Goriong Talas,emcee1,scheduled,appeared,True,True
TBiYd5z2Rxg,Goriong Talas vs Melchrist,"Bara Ko, Barako",2011-12-17,2012-03-14 13:03:50,Melchrist,emcee2,scheduled,appeared,True,True
G9099LBbwhI,Papew vs Rapido,"Bara Ko, Barako",2011-12-17,2012-03-10 12:52:11,Papew,emcee1,scheduled,appeared,True,True
G9099LBbwhI,Papew vs Rapido,"Bara Ko, Barako",2011-12-17,2012-03-10 12:52:11,Rapido,emcee2,scheduled,appeared,True,True
QtNa6harpTE,Elias vs Icaruz,"Bara Ko, Barako",2011-12-17,2012-03-10 12:52:11,Elias,emcee1,scheduled,appeared,True,True
QtNa6harpTE,Elias vs Icaruz,"Bara Ko, Barako",2011-12-17,2012-03-10 12:52:11,Icaruz,emcee2,scheduled,appeared,True,True
hs_b_vaXa10,Dello vs Loonie,Ahon 3,2011-12-10,2012-03-03 16:33:42,Dello,emcee1,scheduled,appeared,True,True
hs_b_vaXa10,Dello vs Loonie,Ahon 3,2011-12-10,2012-03-03 16:33:42,Loonie,emcee2,scheduled,appeared,True,True
sWZIAQgiS0k,JedLi vs SinCity,Ahon 3,2011-12-10,2012-02-29 14:11:41,JedLi,emcee1,scheduled,appeared,True,True
