id,battle_type,winner,votes_winner,votes_loser,votes_nv,votes_ot,overtime,notes
G7_0lnew0EA,judged,Harlem,4,1,0,0,no,none
GHPeRWceuic,judged,Pen Pluma,3,2,0,0,no,none
GI7e_lMzigQ,judged,Melchrist,3,2,0,0,no,none
GJ8rBdHR1qA,judged,Asser,5,0,0,0,no,none
GQg7clBMSqE,judged,Antonym,5,0,0,0,no,none
GSUj5hlTmY8,judged,Yuniko,3,2,0,0,no,none
GToUffwF78A,judged,Empithri,5,0,0,0,no,none
GbM67NUZWRA,judged,Omar Baliw,5,0,0,0,no,none
GhZglyeiFfg,judged,Jonas,5,0,0,0,no,none
Ghwb72kxCDc,judged,Thike,3,2,0,0,no,none
GiN6ASGxK4Q,judged,Nathan,5,0,0,0,no,none
GwImBuU5EDk,judged,GL,5,0,0,0,no,none
GyNmOiuTxDM,judged,Poison13,3,2,0,0,no,none
H1F04mNCU7o,promo,NA,NA,NA,NA,NA,NA,none
H1bveyONVpY,judged,Nikki,5,0,0,0,no,none
H5H4gXLOZno,judged,Shernan,5,0,0,0,no,none
H5p5Qnh1XE4,judged,$tep G,5,0,0,0,no,none
H6Dnak4fN90,judged,Numerhus,3,0,0,0,no,none
HDa4I1ZDBkY,judged,GL,7,0,0,0,no,none
HFAUZ5w5osY,judged,Dhictah,4,1,0,0,no,none
HFylCZ-aVzM,judged,Plaridhel,5,0,0,0,no,none
HPJTPQqyI2M,judged,CripLi,5,0,0,0,no,none
HP_Vg8x2PMw,judged,Gustav,3,0,0,0,no,none
HRF4brmlF3A,judged,Aklas,5,0,0,0,no,none
HSFHJCMtCfw,judged,Goriong Talas,3,2,0,0,no,none
HUeIBCaW7Yc,judged,Mhot,5,0,0,0,no,none
HYXGRNluj-o,judged,Harlem,5,0,0,0,no,none
H_vHpSV21bc,judged,Bonet,5,0,0,0,no,none
HcGoiwYtgV0,judged,C-Quence,5,0,0,0,no,none
HdrJzU189ZA,judged,Invictus,3,2,0,0,no,none
HhDuCdn5Wm4,judged,Batang Rebelde,5,0,0,0,no,John Leo didn't announce the winner-loser score; had to watch actual judging in video
HvUpOLgOiMU,judged,Poison13,3,2,0,0,no,none
I3hCdqKmYrA,judged,Katana,4,1,0,0,no,none
I3hUINbPVik,judged,G-Clown,7,0,0,0,no,none
I8zldd0B5Gk,judged,BLZR,3,2,0,0,no,none
IH0zJBb9drM,judged,M Zhayt,5,0,0,0,no,none
IL3lHs8oEmE,judged,Hazky,3,2,0,0,no,none
IPfQtKyCWiQ,judged,Dodong Saypa,5,0,0,0,no,none
IPw-r5LW30U,judged,GL,5,0,0,0,no,none
IQDhOAkSPz8,judged,Aklas,5,0,0,0,no,none
IQtPpzerEUw,judged,Left Eye Blind,4,1,0,0,no,none
IVxwCqFHjRc,judged,Hazky,5,0,0,0,no,none
IdPP-JPtk4M,judged,Nikki,5,0,0,0,no,none
IfSm2raxnFE,judged,Apekz,7,0,0,0,no,none
IjXzp6BwNdk,judged,Kalixs,3,0,0,0,no,none
IyH87QWShus,judged,Batas,NA,NA,NA,NA,NA,No judging in footage
J3-NFthpJLA,judged,Frooz,5,0,0,0,no,none
J3joAazL0F4,judged,Mackata,5,0,0,0,no,none
JGe7xiw4Xtg,judged,M Zhayt,5,0,0,0,no,none
JH8wnmgxhmc,judged,J-Blaque,4,1,0,0,no,none
JINeOzwAuCU,judged,Zero Hour,3,2,0,0,no,none
JWJz_MS1-I8,judged,Mhot,7,0,0,0,no,none
JWOgFDaBy00,judged,One Lie Ace,4,1,0,0,no,none
JYHVm5QDJ4M,judged,Antonym,3,0,0,0,no,none
JixEkkEOSHk,judged,Philos,5,0,0,0,no,none
JpeWP3lRlVI,judged,Goriong Talas,6,1,0,0,no,none
JrKrg2ELX8w,judged,Poison13,4,1,0,0,no,none
JxSYhkGGvrM,judged,Ares,3,0,0,0,no,none
Jy6lvd46KVg,judged,Emar Industriya,4,1,0,0,no,none
K-WSwDDXVi0,judged,Batas,4,1,0,0,no,none
K-bxj_O4y48,judged,GL,5,0,0,0,no,none
K-ouch4hA10,judged,Invictus,5,0,0,0,no,none
K2wlZLCHGa4,judged,Manda Baliw,5,0,0,0,no,none
K7x7j-JeoBs,judged,Invictus,4,1,0,0,no,none
KDo2sx4pnSU,judged,Kris Delano,4,1,0,0,no,none
KELX-x_1ZGg,judged,Shehyee,4,3,0,0,no,none
KNYrL6Ni1No,judged,Karisma,5,0,0,0,no,none
KYLK5MzAopA,judged,Blizzard,5,0,0,0,no,none
KZJXqTw4IWU,judged,Apoc,5,0,0,0,no,none
